id_estaciones,lat,lon,pertenece_poligono
IAMBUL1,-31.50071,-65.06387,False
IDEPAR104,-31.49246,-65.05929,False
ICRDOBAM4,-31.7304,-65.0143,True
IDEPAR59,-31.82436,-64.97172,True
IDEPAR58,-31.82434,-64.97166,True
IDEPAR62,-31.82446,-64.97164,True
IDEPAR60,-31.82498,-64.97146,True
IVILLA1118,-31.8255,-64.9602,True
ICRDOBAP7,-31.62469,-64.70776,True
ISANJAVI8,-31.94694,-65.10321,False
ISANJAVI6,-31.95112,-65.16649,False
ISANJA13,-32.02453,-65.03772,True
ICRDOBAC8,-32.01506,-64.7644,True
IJUNND5,-32.32057,-65.01967,True
IJUNNDEP2,-32.3337,-65.02409,True
IJUNND4,-32.34216,-65.02437,True
IJUNND3,-32.34725,-64.99082,True
ISLELRIN2,-32.37048,-64.93154,True
IJUNND2,-32.40856,-64.97334,True
ICHACA4,-32.54526,-65.27138,False
ISAMPA2,-33.28369,-64.81426,True
IGENERAL16,-33.32032,-65.31464,False
IROCUA52,-33.38715,-64.84929,True
IROCUA66,-33.17562,-64.55365,True
IROCUA59,-33.38706,-64.72471,True
IROCUA31,-33.39443,-64.71106,True
IRODEL10,-32.52993,-64.59087,True
IROCUA43,-33.11467,-64.39926,True
IROCUA64,-33.45232,-64.62021,True
IROCUA16,-33.12954,-64.35394,True
ISANLUIS14,-33.63993,-65.5007,False
IVILLA350,-33.68722,-65.47229,False
IGENER91,-33.95284,-65.12799,False
IGENER87,-33.96068,-65.12764,False
IGENER89,-33.97037,-65.12273,False
ICORON72,-33.62647,-64.60447,True
IGENER78,-33.94718,-65.52156,False
IROCUA7,-33.9722,-64.64788,False
IROCUA6,-33.92037,-64.43179,True
ICRDOBAP4,-34.59965,-64.7212,False
IVILLA1029,-34.878,-64.98036,False
IVICUA11,-33.93738,-64.37098,True
IGOBER4,-34.84216,-65.66919,False
IREALIC3,-35.05854,-64.21302,False
IGOBER5,-35.16777,-65.90795,False
ICALAMUC6,-32.09524,-64.75641,True
ICALAM12,-32.52901,-64.59037,True
IROCUA73,-33.15076,-64.35633,True
IROCUA74,-33.15109,-64.35473,True
ICORON68,-33.622,-64.587,True
IJOVIT1,-34.51876,-63.94406,True
IROCUART13,-33.12035,-64.34824,True
ICALAMUC3,-31.96349,-64.64713,True
ICAADA3,-32.36943,-64.6375,True
IROCUA4,-32.60157,-64.37443,True
IROCUA63,-33.12329,-64.34833,True
ICRDOBAI2,-34.78368,-63.79471,False
ICRDOBAC32,-31.80246,-64.5548,True
ISANTA103,-31.77385,-64.54199,True
ISANTA43,-31.7897,-64.54444,True
IVILLA1083,-31.97811,-64.57768,True
ICALAMUC5,-31.98389,-64.57156,True
IROCUA51,-32.57224,-64.39291,True
ICRDOBAR5,-33.10932,-64.34025,True
IPUNILLA4,-31.47843,-64.56155,False
ISANAN112,-31.48646,-64.53611,False
IPUNIL5,-31.49334,-64.53042,False
IPUNIL18,-31.4716,-64.54064,False
ICALAM32,-31.99727,-64.55823,True
IVILLA1012,-32.15663,-64.50834,True
IROCUA25,-33.11927,-64.34353,True
IROCUA72,-33.12379,-64.34546,True
IPRESI21,-34.03986,-64.00543,True
IPUNILLA16,-31.47493,-64.5273,False
IPUNILLA17,-31.47495,-64.52714,False
ISANTA514,-31.64784,-64.48308,True
IPUNIL13,-31.47011,-64.5176,False
ICALAM17,-32.195,-64.45466,True
ICALAM20,-32.19499,-64.4546,True
IROCUA44,-32.45789,-64.38781,True
IROCUART16,-33.09781,-64.33013,True
IPRESI35,-34.30754,-63.86198,True
ICAVILLA6,-31.73341,-64.4622,True
ILASER21,-31.73466,-64.46028,True
ISANTAMA1767,-31.7377,-64.4528,True
ISANTA87,-31.73144,-64.44972,True
ISANTA418,-31.64445,-64.44166,True
ICALAM28,-32.21704,-64.32909,True
IPRESI20,-34.07015,-63.93099,True
IPRESI2,-34.49316,-63.68346,True
ISANTA396,-31.65822,-64.43173,True
ISANTA984,-31.65954,-64.43085,True
ISANTA277,-31.65943,-64.43074,True
ISANTA102,-31.66958,-64.43053,True
ISANTA641,-31.73498,-64.4392,True
ISANTA538,-31.80348,-64.41404,True
ICALAM30,-31.94188,-64.36635,True
IROCUA46,-32.42432,-64.19222,True
IROCUA49,-32.52108,-64.14266,True
IROCUA57,-33.127,-64.34328,True
IROCUA48,-33.35759,-64.16129,True
ISANTA374,-31.65741,-64.42876,True
ISANTA378,-31.72933,-64.42617,True
ICALAM11,-31.86267,-64.37986,True
ICALAM9,-31.94397,-64.36401,True
ICALAM23,-32.03134,-64.35606,True
ICASOCON5,-32.02966,-64.35555,True
IROCUA33,-32.47921,-64.11392,True
IROCUA47,-33.09667,-64.3052,True
IADELI1,-33.6358,-64.02161,True
IROCUA5,-33.63482,-64.02091,True
IPRESI8,-34.00193,-63.91681,True
IDEPAR43,-32.18716,-64.25198,True
ICAMONTE5,-33.69876,-63.96988,True
ISANTA52,-31.59037,-64.35648,False
ISANTA36,-31.59219,-64.34695,False
ISANTA541,-31.7535,-64.36589,True
IROCUA36,-32.47854,-64.11316,True
ICRDOBAR3,-33.1243,-64.34034,True
IJUREZ20,-33.698,-63.968,True
ICHAPA3,-35.06989,-63.57099,False
IVILLAPA2,-31.58429,-64.34015,False
ISANTA142,-31.83123,-64.27171,True
ICAMONTE9,-31.90447,-64.24488,True
ISANTA391,-31.91891,-64.23365,True
IROTER2,-32.17,-64.134,True
IROTER3,-32.17,-64.134,True
IDEPAR47,-32.30009,-64.10302,True
IROCUA55,-33.11064,-64.29748,True
IROCUART12,-33.23739,-64.14407,True
ISANTA206,-31.52745,-64.36377,False
IANISA1,-31.70255,-64.30313,True
ISANTA300,-31.91816,-64.21047,True
ISANTA577,-31.92933,-64.21554,True
IDEPAR65,-32.02871,-64.18993,True
IROTER12,-32.1695,-64.12809,True
IROTER11,-32.20537,-64.11364,True
IROCUA38,-32.47837,-64.11307,True
IROCUA34,-32.47848,-64.11301,True
IROCUA77,-33.122,-64.337,True
ICRDOB150,-31.49408,-64.2459,False
ISANTA203,-31.80564,-64.1855,True
IROTER1,-32.18,-64.113,True
IDEPAR27,-32.17203,-64.11197,True
ICRDOB75,-31.50729,-64.16777,False
ICRDOB21,-31.47535,-64.23797,False
ICRDOB175,-31.5033,-64.15252,False
ICRDOB32,-31.47176,-64.26004,False
IDESPE1,-31.90388,-64.11096,True
IBERRO3,-32.325,-64.04,True
IROCUA40,-33.27687,-63.96306,True
ICRDOB164,-31.49152,-64.16435,False
ICRDOB148,-31.48869,-64.14504,False
ICRDOBA65,-31.485,-64.15153,False
ICRDOBA61,-31.4718,-64.18931,False
IROSEG9,-31.76988,-64.041,True
IDESPE2,-31.76859,-63.98987,True
ISANTA580,-31.91986,-64.05231,True
IJUREZ14,-32.70459,-63.86128,True
IJUREZ15,-32.70499,-63.8608,True
IJUREZ25,-33.63663,-63.7689,True
IJUREZ12,-33.63488,-63.76425,True
IROSEG28,-31.59656,-63.98035,False
ICRDOBA72,-31.45892,-64.21125,False
IDEPAR28,-32.23059,-63.99378,True
IDEPAR77,-32.24136,-63.98643,True
IBERRO1,-32.37638,-63.94392,True
IJUREZ24,-33.65328,-63.73337,True
ICHAPA31,-35.26886,-63.55136,False
