stationId,lat,lon,categoria
ICRDOBAM4,-31.7304,-65.0143,activa
IVILLA1118,-31.8255,-64.9602,activa
IJUNND2,-32.40856,-64.97334,activa
ISAMPA2,-33.28369,-64.81426,activa
IROCUA52,-33.38715,-64.84929,activa
IROCUA66,-33.17562,-64.55365,activa
IROCUA59,-33.38706,-64.72471,activa
IROCUA31,-33.39443,-64.71106,activa
IROCUA64,-33.45232,-64.62021,activa
ICORON72,-33.62647,-64.60447,activa
IROCUA6,-33.92037,-64.43179,activa
IROCUA74,-33.15109,-64.35473,activa
IVICUA11,-33.93738,-64.37098,activa
ICRDOBAC32,-31.80246,-64.5548,activa
IVILLA1012,-32.15663,-64.50834,activa
ISANTA514,-31.64784,-64.48308,activa
ICALAM20,-32.19499,-64.4546,activa
IROCUART16,-33.09781,-64.33013,activa
ILASER21,-31.73466,-64.46028,activa
IPRESI35,-34.30754,-63.86198,activa
ISANTA396,-31.65822,-64.43173,activa
ICALAM30,-31.94188,-64.36635,activa
ICALAM9,-31.94397,-64.36401,activa
IROCUA5,-33.63482,-64.02091,activa
IDEPAR43,-32.18716,-64.25198,activa
ISANTA541,-31.7535,-64.36589,activa
ICAMONTE9,-31.90447,-64.24488,activa
IANISA1,-31.70255,-64.30313,activa
ISANTA577,-31.92933,-64.21554,activa
IROTER12,-32.1695,-64.12809,activa
IROTER11,-32.20537,-64.11364,activa
IROCUA38,-32.47837,-64.11307,activa
IROCUA77,-33.122,-64.337,activa
IROTER1,-32.18,-64.113,activa
ISANTA580,-31.91986,-64.05231,activa
IBERRO1,-32.37638,-63.94392,activa
IROSEG30,-31.64373,-63.89931,activa
IJUREZ22,-33.35002,-63.71569,activa
ILABOU36,-34.01165,-63.44069,activa
IHERNA59,-32.435,-63.722,activa
IPRESI26,-33.9037,-63.48617,activa
ICALCH1,-31.86106,-63.26002,activa
IVILLA564,-32.42206,-63.26598,activa
ICRDOBAV11,-32.45831,-63.24699,activa
ICALCH2,-31.82235,-63.24038,activa
IROSEG5,-31.65056,-63.34527,activa
IROSEG20,-31.64782,-63.32787,activa
IPRESIDE9,-33.93237,-63.10918,activa
