stationID,lat,lon
ICRDOBAM4,-31.7304,-65.0143
IDEPAR59,-31.82436,-64.97172
IDEPAR58,-31.82434,-64.97166
IDEPAR62,-31.82446,-64.97164
IDEPAR60,-31.82498,-64.97146
IVILLA1118,-31.8255,-64.9602
ICRDOBAP7,-31.62469,-64.70776
ISANJA13,-32.02453,-65.03772
ICRDOBAC8,-32.01506,-64.7644
IJUNND5,-32.32057,-65.01967
IJUNNDEP2,-32.3337,-65.02409
IJUNND4,-32.34216,-65.02437
IJUNND3,-32.34725,-64.99082
ISLELRIN2,-32.37048,-64.93154
IJUNND2,-32.40856,-64.97334
ISAMPA2,-33.28369,-64.81426
IROCUA52,-33.38715,-64.84929
IROCUA66,-33.17562,-64.55365
IROCUA59,-33.38706,-64.72471
IROCUA31,-33.39443,-64.71106
IRODEL10,-32.52993,-64.59087
IROCUA43,-33.11467,-64.39926
IROCUA64,-33.45232,-64.62021
IROCUA16,-33.12954,-64.35394
ICORON72,-33.62647,-64.60447
IROCUA6,-33.92037,-64.43179
IVICUA11,-33.93738,-64.37098
ICALAMUC6,-32.09524,-64.75641
ICALAM12,-32.52901,-64.59037
IROCUA73,-33.15076,-64.35633
IROCUA74,-33.15109,-64.35473
ICORON68,-33.622,-64.587
IJOVIT1,-34.51876,-63.94406
IROCUART13,-33.12035,-64.34824
ICALAMUC3,-31.96349,-64.64713
ICAADA3,-32.36943,-64.6375
IROCUA4,-32.60157,-64.37443
IROCUA63,-33.12329,-64.34833
ICRDOBAC32,-31.80246,-64.5548
ISANTA103,-31.77385,-64.54199
ISANTA43,-31.7897,-64.54444
IVILLA1083,-31.97811,-64.57768
ICALAMUC5,-31.98389,-64.57156
IROCUA51,-32.57224,-64.39291
ICRDOBAR5,-33.10932,-64.34025
ICALAM32,-31.99727,-64.55823
IVILLA1012,-32.15663,-64.50834
IROCUA25,-33.11927,-64.34353
IROCUA72,-33.12379,-64.34546
IPRESI21,-34.03986,-64.00543
ISANTA514,-31.64784,-64.48308
ICALAM17,-32.195,-64.45466
ICALAM20,-32.19499,-64.4546
IROCUA44,-32.45789,-64.38781
IROCUART16,-33.09781,-64.33013
IPRESI35,-34.30754,-63.86198
ICAVILLA6,-31.73341,-64.4622
ILASER21,-31.73466,-64.46028
ISANTAMA1767,-31.7377,-64.4528
ISANTA87,-31.73144,-64.44972
ISANTA418,-31.64445,-64.44166
ICALAM28,-32.21704,-64.32909
IPRESI20,-34.07015,-63.93099
IPRESI2,-34.49316,-63.68346
ISANTA396,-31.65822,-64.43173
ISANTA984,-31.65954,-64.43085
ISANTA277,-31.65943,-64.43074
ISANTA102,-31.66958,-64.43053
ISANTA641,-31.73498,-64.4392
ISANTA538,-31.80348,-64.41404
ICALAM30,-31.94188,-64.36635
IROCUA46,-32.42432,-64.19222
IROCUA49,-32.52108,-64.14266
IROCUA57,-33.127,-64.34328
IROCUA48,-33.35759,-64.16129
ISANTA374,-31.65741,-64.42876
ISANTA378,-31.72933,-64.42617
ICALAM11,-31.86267,-64.37986
ICALAM9,-31.94397,-64.36401
ICALAM23,-32.03134,-64.35606
ICASOCON5,-32.02966,-64.35555
IROCUA33,-32.47921,-64.11392
IROCUA47,-33.09667,-64.3052
IADELI1,-33.6358,-64.02161
IROCUA5,-33.63482,-64.02091
IPRESI8,-34.00193,-63.91681
IDEPAR43,-32.18716,-64.25198
ICAMONTE5,-33.69876,-63.96988
ISANTA541,-31.7535,-64.36589
IROCUA36,-32.47854,-64.11316
ICRDOBAR3,-33.1243,-64.34034
IJUREZ20,-33.698,-63.968
ISANTA142,-31.83123,-64.27171
ICAMONTE9,-31.90447,-64.24488
ISANTA391,-31.91891,-64.23365
IROTER2,-32.17,-64.134
IROTER3,-32.17,-64.134
IDEPAR47,-32.30009,-64.10302
IROCUA55,-33.11064,-64.29748
IROCUART12,-33.23739,-64.14407
IANISA1,-31.70255,-64.30313
ISANTA300,-31.91816,-64.21047
ISANTA577,-31.92933,-64.21554
IDEPAR65,-32.02871,-64.18993
IROTER12,-32.1695,-64.12809
IROTER11,-32.20537,-64.11364
IROCUA38,-32.47837,-64.11307
IROCUA34,-32.47848,-64.11301
IROCUA77,-33.122,-64.337
ISANTA203,-31.80564,-64.1855
IROTER1,-32.18,-64.113
IDEPAR27,-32.17203,-64.11197
IDESPE1,-31.90388,-64.11096
IBERRO3,-32.325,-64.04
IROCUA40,-33.27687,-63.96306
IROSEG9,-31.76988,-64.041
IDESPE2,-31.76859,-63.98987
ISANTA580,-31.91986,-64.05231
IJUREZ14,-32.70459,-63.86128
IJUREZ15,-32.70499,-63.8608
IJUREZ25,-33.63663,-63.7689
IJUREZ12,-33.63488,-63.76425
IDEPAR28,-32.23059,-63.99378
IDEPAR77,-32.24136,-63.98643
IBERRO1,-32.37638,-63.94392
IJUREZ24,-33.65328,-63.73337
IROSEG30,-31.64373,-63.89931
IROSEGUN9,-31.65049,-63.89881
IDEPAR18,-32.69967,-63.70966
IJUREZ22,-33.35002,-63.71569
IJUREZ17,-33.33893,-63.71738
IPRESI28,-34.13356,-63.39651
IPRESI23,-34.13368,-63.3964
IROSEG17,-31.65297,-63.79043
IROSEG19,-31.64587,-63.75907
IONCAT1,-31.9563,-63.78016
ICORDOBA23,-33.10604,-63.72686
ILABOU36,-34.01165,-63.44069
IROSEG22,-31.91179,-63.67847
IHERNA59,-32.435,-63.722
IDEPAR20,-32.61034,-63.57687
IPRESI26,-33.9037,-63.48617
IROSEG26,-31.70888,-63.51663
IJUREZCE2,-33.20335,-63.396
IJUREZ19,-33.20659,-63.39649
IGENER235,-32.47803,-63.49098
IGENER84,-33.07761,-63.27917
ISANTA1211,-33.14201,-63.27978
IROSEG7,-31.64741,-63.35642
IROSEG6,-31.64752,-63.3564
IROSEG25,-31.86166,-63.27837
ICALCH1,-31.86106,-63.26002
IDEPAR24,-32.04837,-63.20017
IGENERAL29,-32.38752,-63.2481
ICRDOBAV12,-32.4084,-63.25929
IVILLA255,-32.42212,-63.26612
IVILLA564,-32.42206,-63.26598
ICRDOBAV11,-32.45831,-63.24699
IROSAL14,-34.1726,-63.15174
IPRESI18,-34.28921,-63.07721
IROSEG5,-31.65056,-63.34527
IROSEG20,-31.64782,-63.32787
ICALCH2,-31.82235,-63.24038
IVILLA357,-32.39389,-63.24893
IPRESIDE9,-33.93237,-63.10918
ICALAPLA4,-32.13066,-63.02647
IUNIND7,-33.83358,-63.07027
IROSEG27,-31.66675,-63.21333
IUNINDEP8,-33.14614,-62.85382
IROSEGUN12,-31.95266,-62.95919
IPOZOD3,-31.96485,-62.95581
IUNIND9,-32.72361,-62.90354
IJUSTI1,-32.8949,-62.7935
IUNIND8,-33.88088,-62.8413
ISANJU96,-31.66367,-63.05339
ICASACAN2,-31.66474,-63.05362
ISACAN1,-31.63576,-62.99316
IUNINDEP9,-32.59175,-62.83684
IUNIND3,-32.97619,-62.63995
IMONTE794,-33.31135,-62.59395
IGENER95,-34.27402,-62.71848
IGENER153,-34.27443,-62.7183
IUNINDEP6,-32.8901,-62.68016
IJUSTI2,-32.89,-62.677
IUNIND5,-32.91643,-62.66976
IMARCO46,-33.63077,-62.65502
IGENER39,-34.27404,-62.71837
ISANJU16,-31.6342,-62.9905
IUNIND6,-32.94331,-62.64167
IGUATI1,-33.37512,-62.54288
IMARCO45,-33.59964,-62.63028
IGENER152,-34.27405,-62.71827
IRUFIN8,-34.2741,-62.71825
IBELLV29,-32.623,-62.699
IGENER55,-34.27678,-62.70961
IGENER147,-34.26587,-62.70013
ILASVA3,-31.8149,-62.66791
ILASVA1,-31.81491,-62.66735
ILASVA4,-31.80152,-62.61994
IUNIND10,-32.71967,-62.5202
IUNINDEP7,-32.8776,-62.54501
IARIAS1,-33.643,-62.396
IGENER124,-34.25549,-62.67659
ISANJU56,-31.80311,-62.61366
ILASVA2,-31.806,-62.613
IUNIND11,-32.63209,-62.47656
IMARCO18,-33.23942,-62.4029
IMARCO4,-33.23812,-62.40187
IISLAV1,-33.34703,-62.35659
IMARCO13,-33.46826,-62.31841
IGENER245,-34.11331,-62.44073
IGENER220,-34.19209,-62.54242
ICAELFOR3,-31.96781,-62.30485
IGENER212,-34.26004,-62.48217
ISANJU117,-31.96777,-62.30475
IUNINDEP2,-32.37603,-62.30327
IMARCO14,-32.48887,-62.29673
ILEONE4,-32.61869,-62.31432
ISANJU43,-31.96685,-62.30408
IMARCO20,-32.64162,-62.30589
IAMENB2,-34.15824,-62.41907
IGENER186,-34.014,-62.245
IGENER50,-33.87352,-62.17837
IGENER364,-33.07448,-62.26098
IMARCO31,-32.70973,-62.26438
ILEONE5,-32.83925,-62.2619
ICORRA24,-33.28956,-62.18776
IMARCO41,-33.2821,-62.18589
IGENER234,-34.18508,-62.31019
IGENER233,-34.2261,-62.35783
IGENER120,-34.26615,-62.32563
IGENER210,-34.26647,-62.32347
IGENER213,-34.26677,-62.32304
IMARCO62,-32.692,-62.113
IINRIV1,-32.95489,-62.19322
IVENAD3,-33.72047,-62.00786
IGENER149,-34.10913,-62.15906
IGENERAL46,-34.575,-61.9833
IBOUQU10,-32.3606,-61.93856
ISANMA134,-32.26572,-61.90105
ISANMART48,-32.2657,-61.90102
IMARCO67,-32.80747,-62.14012
ILACHI9,-33.5446,-61.9729
IVENAD4,-33.755,-61.97
IVENADOT2,-33.748,-61.96755
IMARAT12,-33.98409,-62.02066
IGENER189,-34.4017,-62.04299
IBOUQU19,-32.37753,-61.92757
IBOUQU15,-32.37879,-61.92666
IMARCO49,-33.03006,-62.06252
ICAFFE7,-33.41893,-61.99214
IGENER30,-34.32626,-62.05275
ISANGR10,-34.32485,-62.05267
IBOUQU17,-32.37962,-61.92035
IBOUQU5,-32.43844,-61.92963
ICALOSSU3,-32.9813,-62.02894
IARTEA68,-33.18248,-61.95655
IGENER348,-32.85501,-61.94036
IARTEA67,-33.18185,-61.95559
ICASER25,-33.34105,-61.96302
IGENER307,-33.61658,-61.8779
IARTEA47,-33.178,-61.916
IGENER111,-33.61691,-61.79503
IGENERAL65,-33.89834,-61.82714
ILEAND17,-34.44118,-61.81163
ILEANDRO2,-34.44113,-61.81163
ILEAND2,-34.44075,-61.81027
ILEAND3,-34.44466,-61.80742
ITORTU3,-32.7455,-61.79251
ICRUZA9,-33.01,-61.811
IARTEA72,-33.094,-61.795
IGENER138,-33.84171,-61.77819
IGENER125,-34.38211,-61.75927
IELTRB1,-32.202,-61.704
ISANMA46,-32.20275,-61.69768
IBELGR68,-32.40125,-61.85362
IBOUQU3,-32.44668,-61.83784
IBELGR31,-32.5629,-61.76703
ITORTU2,-32.74675,-61.79193
IMARCOSJ3,-32.99076,-61.79148
ICRUZA12,-33.00784,-61.79809
ICASER18,-33.09416,-61.79478
ISANJO101,-33.24291,-61.75671
IGENER114,-34.3705,-61.7393
IMONTE694,-32.59323,-61.76208
ICASER19,-33.09408,-61.79477
ICASER17,-33.09413,-61.79476
ICAADA4,-33.4649,-61.71279
IGENER51,-34.363,-61.73639
IARMST35,-32.86566,-61.66736
IARTEA81,-33.09403,-61.79472
IARTEA71,-33.09411,-61.79469
ISANTAFE23,-34.09528,-61.62832
IGENER96,-34.00431,-61.6076
ISANMA74,-32.25071,-61.65815
ILASPA77,-32.70896,-61.62049
IGENER29,-33.69802,-61.60375
IVEDIA1,-34.51663,-61.5843
IBELGR49,-32.39304,-61.77858
IBELGR27,-32.49019,-61.63215
ILASPA81,-32.6708,-61.58348
ICASER2,-33.11932,-61.70699
ICASER22,-33.11932,-61.70696
IGENER106,-33.77736,-61.54684
ICENTE27,-32.25333,-61.5048
ICENTE26,-32.27552,-61.51979
ILASRO58,-32.41925,-61.67976
ILASPA72,-32.71113,-61.55494
IBERRE2,-32.92623,-61.54516
ICASER34,-33.11229,-61.70878
ICASER37,-33.11679,-61.70887
IGENER180,-33.42926,-61.4992
IGENER126,-33.44792,-61.49831
IGENER151,-33.85687,-61.47628
ILEAND6,-34.49901,-61.53946
ILASRO40,-32.38337,-61.65745
IBELGR26,-32.48584,-61.57531
IBELGR17,-32.48604,-61.57523
