estaciones_id,fecha_ultimo_reporte
IADELI1,2024-09-11
IAMENB2,2024-09-11
IARIAS1,2024-02-22 21:39:42
IARMST25,2024-04-25 23:59:47
IBELGR31,2024-09-11
IBIGAN11,2024-09-11
IBUSTI3,2024-09-11
ICAADA2,2024-09-11
ICAADA3,2024-09-11
ICALAM23,2024-09-11
ICALAM32,2024-09-11
ICASER12,2024-09-11
ICASER21,2024-09-11
ICASER25,2024-09-11
ICASER34,2024-09-11
ICASER40,2024-09-11
ICASER42,sin observaciones
ICASIL2,2024-09-11
ICOLN10,2024-09-11
ICONST54,2024-08-21 23:59:51
ICONSTIT2,2024-09-11
ICONSTIT3,2024-03-09 23:47:54
ICONSTIT4,2024-09-11
ICORDOBA23,2024-09-11
ICRDOBAV12,2024-09-11
IDEPAR62,2024-09-11
IDEPAR77,2024-06-25 23:59:57
IDESPE1,2024-09-11
IDESPE2,2024-09-11
IDIEGO12,2024-09-11
IFUNES8,2024-09-11
IGENER96,2024-09-11
IGENER106,2024-09-11
IGENER124,2024-09-11
IGENER126,2024-09-11
IGENER147,2024-09-11
IGENER149,2024-09-11
IGENER180,2024-09-11
IGENER186,2024-09-11
IGENER189,2024-09-11
IGENER220,2024-09-09 08:35:20
IGENER235,2024-09-11
IGENER245,2024-09-11
IGENER296,2024-09-11
IGENER305,2024-04-18 23:59:58
IGENER348,2024-09-10 14:17:28
IGENER364,2024-09-11
IINRIV1,2024-09-11
IIRION3,2024-09-11
IIRION6,2024-08-14 23:59:45
IIRIONDO2,2024-09-11
IISLAV1,2024-09-11
IJOVIT1,2024-02-02 23:52:56
IJUNDD2,sin observaciones
IJUNND3,2024-09-11
IJUNND5,2024-09-11
IJUREZ12,2024-09-11
IJUREZ15,2024-09-11
IJUREZ17,2024-09-11
IJUREZ19,2024-09-11
ILACHI9,2024-09-11
ILASPA72,2024-09-11
ILASPA81,2024-09-11
ILEAND6,2024-09-11
ILEAND17,2024-09-11
ILEAND30,2024-09-11
ILOSMO6,2024-09-04 23:55:11
IMARCO41,2024-09-11
IMARCO44,2024-07-26 20:35:04
IMARCO49,2024-09-11
IMARCOSJ3,2024-09-11
IMELIN1,2024-04-04 23:59:49
IONCAT1,2024-09-11
IPERGA4,2024-09-11
IPERGA17,2024-09-11
IPERGA20,2024-09-11
IPERGA21,2024-09-11
IPERGA22,2024-09-11
IPERGAMI6,2024-09-11
IPRESI18,2024-09-11
IROCUA44,2024-07-03 22:35:15
IROCUA46,2024-09-11
IROCUA49,2024-09-11
IROCUA51,2023-12-18 23:59:54
IROCUART12,2024-09-11
IRODEL10,2024-08-27 23:59:20
IROSAR100,2024-09-11
IROSAR101,2024-09-11
IROSAR103,2024-08-06 23:59:50
IROSAR106,2024-09-11
IROSAR107,2024-09-11
IROSAR110,sin observaciones
IROSAR5,2024-09-11
IROSAR14,2024-09-07 23:58:33
IROSAR18,2024-09-11
IROSAR30,2024-09-11
IROSAR38,2024-09-11
IROSAR56,2024-09-11
IROSAR60,2024-09-11
IROSAR62,2024-09-11
IROSAR68,2024-06-20 23:59:50
IROSAR70,2024-09-11
IROSAR84,2024-09-11
IROSAR86,2023-12-23 23:59:50
IROSAR89,2024-09-11
IROSAR97,2024-09-11
IROSAR98,sin observaciones
IROSARIO11,2024-09-11
IROSARIO39,2024-09-11
IROSEG9,2024-09-11
IROSEG16,2024-04-14 23:59:59
IROSEG26,2024-09-11
IROSEG28,2024-09-11
ISANFO4,2024-09-11
ISANJA13,2024-02-03 23:59:53
ISANJAVI8,2024-09-11
ISANJO74,2024-09-11
ISANJU117,2024-09-11
ISANLO49,2024-04-18 20:59:29
ISANLO71,2024-09-11
ISANLORE33,2024-09-11
ISANLORE34,2024-09-11
ISANNI7,2024-09-11
ISANNI16,2024-09-11
ISANNI35,2024-09-11
ISANNICO24,2024-09-11
ISANTA43,2024-09-11
ISANTA203,2024-09-11
ISANTA538,2023-12-18 23:59:55
ISANTA1211,2024-09-11
ISANTAFE23,2024-09-11
ISANTAFE60,2024-09-11
ISANTAFE105,2024-09-11
ISARGE5,2024-09-11
ITORTU3,2024-09-11
IUNIND8,2024-09-11
IUNINDEP8,2024-09-11
IVENAD3,2024-09-11
IVILLA133,2024-09-11
IVILLA1083,2024-09-11
IPREZ1,2024-09-11
ICASER41,2024-09-11
ICASER32,2024-09-11
