estaciones_id,fecha_inicio
IADELI1,2022/11/9
IAMENB2,2023/3/1
IARIAS1,2023/5/21
IARMST25,2023/4/24
IBELGR31,2020/12/7
IBIGAN11,2023/1/17
IBUSTI3,2023/7/17
ICAADA2,2023/6/27
ICAADA3,2023/7/29
ICALAM23,2020/10/2
ICALAM32,2021/9/22
ICASER12,2019/12/28
ICASER21,2020/7/28
ICASER25,2020/12/29
ICASER34,2021/12/4
ICASER40,2022/6/26
ICASER42,sin observaciones
ICASIL2,2022/12/28
ICOLN10,2017/1/1
ICONST54,2022/4/29
ICONSTIT2,2017/4/1
ICONSTIT3,2027/4/8
ICONSTIT4,2018/3/4
ICORDOBA23,2013/3/17
ICRDOBAV12,2015/7/23
IDEPAR62,2021/3/27
IDEPAR77,2021/8/10
IDESPE1,2022/11/1
IDESPE2,2023/1/30
IDIEGO12,2022/11/9
IFUNES8,2022/12/23
IGENER96,2020/7/6
IGENER106,2020/8/17
IGENER124,2020/10/13
IGENER126,2020/10/24
IGENER147,2021/2/25
IGENER149,2021/2/27
IGENER180,2021/7/5
IGENER186,2021/7/29
IGENER189,2021/7/29
IGENER220,2021/11/25
IGENER235,2022/2/10
IGENER245,2022/6/7
IGENER296,2022/7/10
IGENER305,2022/8/5
IGENER348,2023/6/23
IGENER364,2023/10/1
IINRIV1,2023/7/11
IIRION3,2020/5/31
IIRION6,2021/2/24
IIRIONDO2,2017/1/1
IISLAV1,2022/12/15
IJOVIT1,2022/12/25
IJUNDD2,sin observaciones
IJUNND3,2020/10/1
IJUNND5,2022/3/9
IJUREZ12,2019/11/30
IJUREZ15,2020/10/22
IJUREZ17,2020/12/19
IJUREZ19,2021/1/14
ILACHI9,2022/12/20
ILASPA72,2023/2/13
ILASPA81,2023/10/10
ILEAND6,2021/2/23
ILEAND17,2021/9/18
ILEAND30,2022/12/21
ILOSMO6,2023/6/29
IMARCO41,2022/7/16
IMARCO44,2022/9/12
IMARCO49,2022/10/12
IMARCOSJ3,2019/3/11
IMELIN1,2023/6/27
IONCAT1,2023/3/31
IPERGA4,2019/9/28
IPERGA17,2022/6/22
IPERGA20,2023/3/22
IPERGA21,2023/4/30
IPERGA22,2023/5/14
IPERGAMI6,2018/9/6
IPRESI18,2021/6/28
IROCUA44,2021/6/22
IROCUA46,2021/7/29
IROCUA49,2021/8/24
IROCUA51,2021/9/21
IROCUART12,2018/9/14
IRODEL10,2023/6/15
IROSAR100,2022/9/24
IROSAR101,2022/10/10
IROSAR103,2022/12/21
IROSAR106,2023/3/19
IROSAR107,2023/3/22
IROSAR110,sin observaciones
IROSAR5,2019/4/12
IROSAR14,2019/7/4
IROSAR18,2019/9/21
IROSAR30,2020/2/25
IROSAR38,2020/6/17
IROSAR56,2020/9/8
IROSAR60,2020/10/25
IROSAR62,2020/11/21
IROSAR68,2021/3/20
IROSAR70,2021/5/25
IROSAR84,2022/2/6
IROSAR86,2022/2/28
IROSAR89,2022/4/29
IROSAR97,2022/8/25
IROSAR98,sin observaciones
IROSARIO11,2017/7/24
IROSARIO39,2018/11/15
IROSEG9,2020/8/8
IROSEG16,2021/8/20
IROSEG26,2022/10/21
IROSEG28,2023/1/6
ISANFO4,2023/8/15
ISANJA13,2021/9/11
ISANJAVI8,2019/1/22
ISANJO74,2023/6/6
ISANJU117,2021/10/24
ISANLO49,2021/8/6
ISANLO71,2022/8/10
ISANLORE33,2018/5/25
ISANLORE34,2018/8/17
ISANNI7,2020/7/4
ISANNI16,2021/3/30
ISANNI35,2022/6/23
ISANNICO24,2017/5/11
ISANTA43,2019/6/5
ISANTA203,2020/2/3
ISANTA538,2021/5/20
ISANTA1211,2023/4/17
ISANTAFE23,2012/5/28
ISANTAFE60,2014/2/4
ISANTAFE105,2016/2/3
ISARGE5,2022/10/25
ITORTU3,2023/2/24
IUNIND8,2021/4/27
IUNINDEP8,2018/11/29
IVENAD3,2019/4/17
IVILLA133,2019/5/27
IVILLA1083,2023/5/17
IPREZ1,2024/1/15
ICASER41,2022/9/15
ICASER32,2021/6/11
