stationID;obsTimeLocal;precipTotal_mm;;
IROSAR100;2025/02/05 00:04;0;;
IROSAR100;2025/02/05 00:09;0;;
IROSAR100;2025/02/05 00:14;0;;
IROSAR100;2025/02/05 00:19;0;;
IROSAR100;2025/02/05 00:24;0;;
IROSAR100;2025/02/05 00:29;0;;
IROSAR100;2025/02/05 00:34;0;;
IROSAR100;2025/02/05 00:39;0;;
IROSAR100;2025/02/05 00:44;0;;
IROSAR100;2025/02/05 00:49;0;;
IROSAR100;2025/02/05 00:54;0;;
IROSAR100;2025/02/05 00:59;0;;
IROSAR100;2025/02/05 01:04;0;;
IROSAR100;2025/02/05 01:09;0;;
IROSAR100;2025/02/05 01:14;0;;
IROSAR100;2025/02/05 01:19;0;;
IROSAR100;2025/02/05 01:24;0;;
IROSAR100;2025/02/05 01:29;0;;
IROSAR100;2025/02/05 01:34;0;;
IROSAR100;2025/02/05 01:39;0;;
IROSAR100;2025/02/05 01:44;0;;
IROSAR100;2025/02/05 01:49;0;;
IROSAR100;2025/02/05 01:54;0;;
IROSAR100;2025/02/05 01:59;0;;
IROSAR100;2025/02/05 02:04;0;;
IROSAR100;2025/02/05 02:09;0;;
IROSAR100;2025/02/05 02:14;0;;
IROSAR100;2025/02/05 02:19;0;;
IROSAR100;2025/02/05 02:24;0;;
IROSAR100;2025/02/05 02:29;0;;
IROSAR100;2025/02/05 02:34;0;;
IROSAR100;2025/02/05 02:39;0;;
IROSAR100;2025/02/05 02:44;0;;
IROSAR100;2025/02/05 02:49;0;;
IROSAR100;2025/02/05 02:54;0;;
IROSAR100;2025/02/05 02:59;0;;
IROSAR100;2025/02/05 03:04;0;;
IROSAR100;2025/02/05 03:09;0;;
IROSAR100;2025/02/05 03:14;0;;
IROSAR100;2025/02/05 03:19;0;;
IROSAR100;2025/02/05 03:24;0;;
IROSAR100;2025/02/05 03:29;0;;
IROSAR100;2025/02/05 03:34;0;;
IROSAR100;2025/02/05 03:39;0;;
IROSAR100;2025/02/05 03:44;0;;
IROSAR100;2025/02/05 03:49;0;;
IROSAR100;2025/02/05 03:54;0;;
IROSAR100;2025/02/05 03:59;0;;
IROSAR100;2025/02/05 04:04;0;;
IROSAR100;2025/02/05 04:09;0;;
IROSAR100;2025/02/05 04:14;0;;
IROSAR100;2025/02/05 04:19;0;;
IROSAR100;2025/02/05 04:24;0;;
IROSAR100;2025/02/05 04:29;0;;
IROSAR100;2025/02/05 04:34;0;;
IROSAR100;2025/02/05 04:39;0;;
IROSAR100;2025/02/05 04:44;0;;
IROSAR100;2025/02/05 04:49;0;;
IROSAR100;2025/02/05 04:54;0;;
IROSAR100;2025/02/05 04:59;0;;
IROSAR100;2025/02/05 05:04;0;;
IROSAR100;2025/02/05 05:09;0;;
IROSAR100;2025/02/05 05:14;0;;
IROSAR100;2025/02/05 05:19;0;;
IROSAR100;2025/02/05 05:24;0;;
IROSAR100;2025/02/05 05:29;0;;
IROSAR100;2025/02/05 05:34;0;;
IROSAR100;2025/02/05 05:39;0;;
IROSAR100;2025/02/05 05:44;0;;
IROSAR100;2025/02/05 05:49;0;;
IROSAR100;2025/02/05 05:54;0;;
IROSAR100;2025/02/05 05:59;0;;
IROSAR100;2025/02/05 06:04;0;;
IROSAR100;2025/02/05 06:09;2.79;;
IROSAR100;2025/02/05 06:14;5.11;;
IROSAR100;2025/02/05 06:19;10.01;;
IROSAR100;2025/02/05 06:24;11.2;;
IROSAR100;2025/02/05 06:29;11.51;;
IROSAR100;2025/02/05 06:34;11.71;;
